exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
qlearning_micEZ70.0	-0.03	0.0	14.646359597980481	[614.38901827]	614.38901827	[1228.52421983]	1228.52421983	540.0
qlearning_micEZ70.1	0.0	0.0	12.284042979542193	[ 604.2944531  1420.4896115  2717.01982107 3229.92924526 4154.34929331 4242.29760409 5595.22476053]	604.2944531	[]	N/A	1233.0
qlearning_micEZ70.2	0.02	0.0	13.49308814139778	[851.07186082]	851.07186082	[2289.15747476]	2289.15747476	1143.0
qlearning_micZ140.0	-0.03	0.0	15.240898629698643	[455.55797741]	455.55797741	[996.61076195]	996.61076195	360.0
qlearning_micZ140.1	0.0	0.0	12.52744258753192	[1234.87661742 2225.65787229 2359.1750149  2387.43958646 2704.28350399 3600.87487299 4167.1680771  5021.96012305 5614.88135296]	1234.87661742	[]	N/A	1260.0
qlearning_micZ140.2	0.02	0.0	12.414367380025373	[912.29028095]	912.29028095	[2367.97252989]	2367.97252989	1602.0
rational_micEZ70.3	-0.03	0.0	13.941736849045661	[929.25804363]	929.25804363	[1976.83014739]	1976.83014739	720.0
rational_micEZ70.24	0.0	0.0	13.805798423170287	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micEZ70.45	0.02	0.0	13.813936904567266	[916.43345316]	916.43345316	[2361.38178381]	2361.38178381	810.0
rational_micZ140.3	-0.03	0.0	15.126892761558231	[518.33171441]	518.33171441	[880.62517553]	880.62517553	360.0
rational_micZ140.24	0.0	0.0	13.805798423175421	[919.29455394]	919.29455394	[2319.49295463]	2319.49295463	810.0
rational_micZ140.45	0.02	0.0	11.307487888885724	[2409.66123752 2448.84024643 2743.18083513 2832.52712972 3091.88977486 3201.93917669 3445.6069484  3566.99439478 3801.88114848 3929.93060507 4159.61026976 4291.69789488 4518.20620679 4652.78222702 4877.33091969 5013.45500151 5236.78255043 5373.87526243 5596.43793317 5734.13889081]	2409.66123752	[]	N/A	1440.0
